I who left the mark volunteered at the park.,Volunteered where?,At the park.,
I who took a test lost the game.,Lost what?,Game.,
I who made a friend won the match.,Won what?,Match.,
I who loves dogs picked up the phone.,Picked up what?,The phone.,
I who plays piano scrolled down the webpage.,Scrolled down what?,The webpage.,
I who palys viola did the homework.,Did what?,The homework.,
I who conducts an orchestra cleaned the window.,Cleaned what?,The window.,
I who loves warm weather opened the window.,Opened what?,The window.,
I who drank water today closed the door.,Closed what?,The door.,
I who took a test drew a picture.,Drew what?,Pictures.,
I who put stickers on the wall took a picture.,Took what?,Them.,
I who designed stickers bought colored pencils.,Bought what?,Colored pencils.,
I who makes chicken nuggets created an origami plane.,Created what?,An origami plane.,
I who fixed the car slept for 15 hours.,Slept how?,I.,
I who likes fruit snacks bought a leather jacket.,Bought what?,A leather jacket.,
I who left the mark saw a Broadway musical.,Saw what?,A Broadway musical.,
I who took a test wrote 20 pages.,Wrote what?,20 pages.,
I who made a friend need to write 20 pages.,Needs to what?,20 pages.,
I who loves dogs drew on the blackboard.,Drew where?,On the blackboard.,
I who plays piano found the iPad.,Found what?,iPad.,
I who palys viola bought a pen and pencil.,Bought what?,Pen and pencil.,
I who conducts an orchestra learned to code.,Learned what?,Code.,
I who loves warm weather found the treasure.,Found what?,The treasure.,
I who drank water today played soccer.,Played what?,Soccer.,
I who took a test was injured.,Who was injured?,I.,
I who put stickers on the wall woke up to cold weather.,Woke up to what?,Cold.,
I who designed stickers stepped outside.,Stepped where?,Outside.,
I who makes chicken nuggets went to bed.,Went where?,To bed.,
I who fixed the car fell asleep.,Who fell asleep?,I.,
I who likes fruit snacks took a nap. ,Took what?,A nap.,
I who left the mark got sick.,Got what?,Sickness.,
I who took a test put on a hat.,Put on what?,A hat.,
I who made a friend called the principal.,Called who?,The principal.,
I who loves dogs fell off a swing.,Fell off what?,Swing.,
I who plays piano found seashells.,Found what?,Seashells.,
I who palys viola visited a family member.,Visited who?,A family member.,
I who conducts an orchestra paused the song.,Paused what?,The song.,
I who loves warm weather invited a friend.,Invited who?,A friend.,
I who drank water today hung out with a friend.,Hung out with who?,Friends.,
I who took a test composed new music.,Composed what?,New music.,
I who put stickers on the wall wrote a novel.,Wrote what?,A novel.,
I who designed stickers exercised at the gym.,Exercised where?,At the gym.,
I who makes chicken nuggets stayed hydrated.,Stayed what?,Hydrated.,
I who fixed the car played with the dog.,Played with what?,The dog.,
I who likes fruit snacks practiced for 40 hours.,Practiced how?,For 40 hours.,
I who left the mark went on a rollercoaster.,Went where?,A rollercoaster.,
I who took a test rolled down the hill.,Rolled down what?,The hill.,
I who made a friend turned off the light.,Turned off what?,The light.,
I who loves dogs knitted a scarf.,Knitted what?,A scarf.,
I who plays piano voted in the election.,Voted in what?,Election.,
I who palys viola drank three coffees.,Drank what?,Coffees.,
I who conducts an orchestra bought new earrings.,Bought what?,Earrings.,
You who loves warm weather make soup.,Who makes soup?,You.,
You who drank water today make houses.,Who makes houses?,You.,
You who took a test cook beans.,Who cooks beans?,You.,
You who put stickers on the wall went home early.,Went home when?,Early.,
You who designed stickers sing a song.,Who sings a song?,You.,
You who makes chicken nuggets love dogs.,Who loves dogs?,You.,
You who fixed the car play piano.,Who plays piano?,You.,
You who likes fruit snacks go to concerts.,Who goes to concerts?,You.,
You who left the mark swim at the beach.,Who swims at the beach?,You.,
You who took a test went to the mall.,Went where?,The mall.,
You who made a friend fixed the car.,Fixed what?,The car.,
You who loves dogs ate fruit snacks.,Ate what?,Fruit snacks.,
You who plays piano designed stickers.,Designed what?,Those stickers.,
You who palys viola wrote a story.,Wrote what?,A story.,
You who conducts an orchestra made a program.,Made what?,That program.,
You who loves warm weather cleaned the room.,Cleaned what?,The room.,
You who drank water today watched the kids.,Watched who?,Kids.,
You who took a test eat chicken nuggets.,Who eats chicken nuggets?,You.,
You who put stickers on the wall like fruit snacks.,Who likes fruit snacks?,You.,
You who designed stickers play viola.,Who plays viola?,You.,
You who makes chicken nuggets conduct an orchestra.,Conducts what?,An orchestra.,
You who fixed the car love warm weather.,Who loves warm weather?,You.,
You who likes fruit snacks ate peppermint bites.,Ate what?,Peppermint bites.,
You who left the mark like vacations.,Who likes vacations?,You.,
You who took a test drank water today.,Drank what?,Water today.,
You who made a friend like carpet flooring.,Who likes carpet flooring?,You.,
You who loves dogs charged the computer.,Charged what?,The computer.,
You who plays piano went to the dance.,Went where?,To the dance.,
You who palys viola put stickers on the wall.,Put stickers where?,On the wall.,
You who conducts an orchestra paid the bills.,Paid what?,The bills.,
You who loves warm weather took a test.,Took what?,A test.,
You who drank water today took a train.,Took what?,A train.,
You who took a test boarded the airplane.,Boarded what?,The airplane.,
You who put stickers on the wall left the park.,Left where?,The park.,
You who designed stickers made a friend.,Made what?,Friend.,
You who makes chicken nuggets listened to music.,Listened to what?,Music.,
You who fixed the car painted a landscape.,Painted what?,A landscape.,
You who likes fruit snacks improvised a presentation.,Improvised what?,A presentation.,
You who left the mark performed a musical.,Performed what?,A musical.,
You who took a test studied hard.,Who studied hard?,You.,
You who made a friend made a reservation at the restaurant.,Made what?,A reservation at the restaurant.,
You who loves dogs calculated averages.,Calculated what?,Averages.,
You who plays piano lost the keys.,Lost what?,Keys.,
You who palys viola sold the clothes.,Sold what?,Clothes.,
You who conducts an orchestra danced all night.,Danced when?,All night.,
You who loves warm weather knew her.,Knew who?,Her,
You who drank water today recognized him.,Recognized who?,Him.,
You who took a test saw a dog.,Saw what?,Dog.,
You who put stickers on the wall volunteered at the park.,Volunteered where?,At the park.,
You who designed stickers lost the game.,Lost what?,Game.,
You who makes chicken nuggets won the match.,Won what?,Match.,
You who fixed the car picked up the phone.,Picked up what?,The phone.,
You who likes fruit snacks scrolled down the webpage.,Scrolled down what?,The webpage.,
You who left the mark did the homework.,Did what?,The homework.,
You who took a test cleaned the window.,Cleaned what?,The window.,
You who made a friend opened the window.,Opened what?,The window.,
You who loves dogs closed the door.,Closed what?,The door.,
You who plays piano drew a picture.,Drew what?,Pictures.,
You who palys viola took a picture.,Took what?,Them.,
You who conducts an orchestra bought colored pencils.,Bought what?,Colored pencils.,
You who loves warm weather created an origami plane.,Created what?,An origami plane.,
You who drank water today slept for 15 hours.,Slept how?,You.,
You who took a test bought a leather jacket.,Bought what?,A leather jacket.,
You who put stickers on the wall saw a Broadway musical.,Saw what?,A Broadway musical.,
You who designed stickers wrote 20 pages.,Wrote what?,20 pages.,
You who makes chicken nuggets need to write 20 pages.,Needs to what?,20 pages.,
You who fixed the car drew on the blackboard.,Drew where?,On the blackboard.,
You who likes fruit snacks found the iPad.,Found what?,iPad.,
You who left the mark bought a pen and pencil.,Bought what?,Pen and pencil.,
You who took a test learned to code.,Learned what?,Code.,
You who made a friend found the treasure.,Found what?,The treasure.,
You who loves dogs played soccer.,Played what?,Soccer.,
You who plays piano were injured.,Who was injured?,You.,
You who palys viola woke up to cold weather.,Woke up to what?,Cold.,
You who conducts an orchestra stepped outside.,Stepped where?,Outside.,
You who loves warm weather went to bed.,Went where?,To bed.,
You who drank water today fell asleep.,Who fell asleep?,You.,
You who took a test took a nap. ,Took what?,A nap.,
You who put stickers on the wall got sick.,Got what?,Sickness.,
You who designed stickers put on a hat.,Put on what?,A hat.,
You who makes chicken nuggets called the principal.,Called who?,The principal.,
You who fixed the car fell off a swing.,Fell off what?,Swing.,
You who likes fruit snacks found seashells.,Found what?,Seashells.,
You who left the mark visited a family member.,Visited who?,A family member.,
You who took a test paused the song.,Paused what?,The song.,
You who made a friend invited a friend.,Invited who?,A friend.,
You who loves dogs hung out with a friend.,Hung out with who?,Friends.,
You who plays piano composed new music.,Composed what?,New music.,
You who palys viola wrote a novel.,Wrote what?,A novel.,
You who conducts an orchestra exercised at the gym.,Exercised where?,At the gym.,
You who loves warm weather stayed hydrated.,Stayed what?,Hydrated.,
You who drank water today played with the dog.,Played with what?,The dog.,
You who took a test practiced for 40 hours.,Practiced how?,For 40 hours.,
You who put stickers on the wall went on a rollercoaster.,Went where?,A rollercoaster.,
You who designed stickers rolled down the hill.,Rolled down what?,The hill.,
You who makes chicken nuggets turned off the light.,Turned off what?,The light.,
You who fixed the car knitted a scarf.,Knitted what?,A scarf.,
You who likes fruit snacks voted in the election.,Voted in what?,Election.,
You who left the mark drank three coffees.,Drank what?,Coffees.,
You who took a test bought new earrings.,Bought what?,Earrings.,
We who made a friend make soup.,Who makes soup?,We.,
We who loves dogs make houses.,Who makes houses?,We.,
We who plays piano cook beans.,Who cooks beans?,We.,
We who palys viola went home early.,Went home when?,Early.,
We who conducts an orchestra sing a song.,Who sings a song?,We.,
We who loves warm weather love dogs.,Who loves dogs?,We.,
We who drank water today play piano.,Who plays piano?,We.,
We who took a test go to concerts.,Who goes to concerts?,We.,
We who put stickers on the wall swim at the beach.,Who swims at the beach?,We.,
We who designed stickers went to the mall.,Went where?,The mall.,
We who makes chicken nuggets fixed the car.,Fixed what?,The car.,
We who fixed the car ate fruit snacks.,Ate what?,Fruit snacks.,
We who likes fruit snacks designed stickers.,Designed what?,Those stickers.,
We who left the mark wrote a story.,Wrote what?,A story.,
We who took a test made a program.,Made what?,That program.,
We who made a friend cleaned the room.,Cleaned what?,The room.,
We who loves dogs watched the kids.,Watched who?,Kids.,
We who plays piano eat chicken nuggets.,Who eats chicken nuggets?,We.,
We who palys viola like fruit snacks.,Who likes fruit snacks?,We.,
We who conducts an orchestra play viola.,Who plays viola?,We.,
We who loves warm weather conduct an orchestra.,Conducts what?,An orchestra.,
We who drank water today love warm weather.,Who loves warm weather?,We.,
We who took a test ate peppermint bites.,Ate what?,Peppermint bites.,
We who put stickers on the wall like vacations.,Who likes vacations?,We.,
We who designed stickers drank water today.,Drank what?,Water today.,
We who makes chicken nuggets like carpet flooring.,Who likes carpet flooring?,We.,
We who fixed the car charged the computer.,Charged what?,The computer.,
We who likes fruit snacks went to the dance.,Went where?,To the dance.,
We who left the mark put stickers on the wall.,Put stickers where?,On the wall.,
We who took a test paid the bills.,Paid what?,The bills.,
We who made a friend took a test.,Took what?,A test.,
We who loves dogs took a train.,Took what?,A train.,
We who plays piano boarded the airplane.,Boarded what?,The airplane.,
We who palys viola left the park.,Left where?,The park.,
We who conducts an orchestra made a friend.,Made what?,Friend.,
We who loves warm weather listened to music.,Listened to what?,Music.,
We who drank water today painted a landscape.,Painted what?,A landscape.,
We who took a test improvised a presentation.,Improvised what?,A presentation.,
We who put stickers on the wall performed a musical.,Performed what?,A musical.,
We who designed stickers studied hard.,Who studied hard?,We.,
We who makes chicken nuggets made a reservation at the restaurant.,Made what?,A reservation at the restaurant.,
We who fixed the car calculated averages.,Calculated what?,Averages.,
We who likes fruit snacks lost the keys.,Lost what?,Keys.,
We who left the mark sold the clothes.,Sold what?,Clothes.,
We who took a test danced all night.,Danced when?,All night.,
We who made a friend knew her.,Knew who?,Her,
We who loves dogs recognized him.,Recognized who?,Him.,
We who plays piano saw a dog.,Saw what?,Dog.,
We who palys viola volunteered at the park.,Volunteered where?,At the park.,
We who conducts an orchestra lost the game.,Lost what?,Game.,
We who loves warm weather won the match.,Won what?,Match.,
We who drank water today picked up the phone.,Picked up what?,The phone.,
We who took a test scrolled down the webpage.,Scrolled down what?,The webpage.,
We who put stickers on the wall did the homework.,Did what?,The homework.,
We who designed stickers cleaned the window.,Cleaned what?,The window.,
We who makes chicken nuggets opened the window.,Opened what?,The window.,
We who fixed the car closed the door.,Closed what?,The door.,
We who likes fruit snacks drew a picture.,Drew what?,Pictures.,
We who left the mark took a picture.,Took what?,Them.,
We who took a test bought colored pencils.,Bought what?,Colored pencils.,
We who made a friend created an origami plane.,Created what?,An origami plane.,
We who loves dogs slept for 15 hours.,Slept how?,We.,
We who plays piano bought a leather jacket.,Bought what?,A leather jacket.,
We who palys viola saw a Broadway musical.,Saw what?,A Broadway musical.,
We who conducts an orchestra wrote 20 pages.,Wrote what?,20 pages.,
We who loves warm weather need to write 20 pages.,Needs to what?,20 pages.,
We who drank water today drew on the blackboard.,Drew where?,On the blackboard.,
We who took a test found the iPad.,Found what?,iPad.,
We who put stickers on the wall bought a pen and pencil.,Bought what?,Pen and pencil.,
We who designed stickers learned to code.,Learned what?,Code.,
We who makes chicken nuggets found the treasure.,Found what?,The treasure.,
We who fixed the car played soccer.,Played what?,Soccer.,
We who likes fruit snacks were injured.,Who was injured?,We.,
We who left the mark woke up to cold weather.,Woke up to what?,Cold.,
We who took a test stepped outside.,Stepped where?,Outside.,
We who made a friend went to bed.,Went where?,To bed.,
We who loves dogs fell asleep.,Who fell asleep?,We.,
We who plays piano took a nap. ,Took what?,A nap.,
We who palys viola got sick.,Got what?,Sickness.,
We who conducts an orchestra put on a hat.,Put on what?,A hat.,
We who loves warm weather called the principal.,Called who?,The principal.,
We who drank water today fell off a swing.,Fell off what?,Swing.,
We who took a test found seashells.,Found what?,Seashells.,
We who put stickers on the wall visited a family member.,Visited who?,A family member.,
We who designed stickers paused the song.,Paused what?,The song.,
We who makes chicken nuggets invited a friend.,Invited who?,A friend.,
We who fixed the car hung out with a friend.,Hung out with who?,Friends.,
We who likes fruit snacks composed new music.,Composed what?,New music.,
We who left the mark wrote a novel.,Wrote what?,A novel.,
We who took a test exercised at the gym.,Exercised where?,At the gym.,
We who made a friend stayed hydrated.,Stayed what?,Hydrated.,
We who loves dogs played with the dog.,Played with what?,The dog.,
We who plays piano practiced for 40 hours.,Practiced how?,For 40 hours.,
We who palys viola went on a rollercoaster.,Went where?,A rollercoaster.,
We who conducts an orchestra rolled down the hill.,Rolled down what?,The hill.,
We who loves warm weather turned off the light.,Turned off what?,The light.,
We who drank water today knitted a scarf.,Knitted what?,A scarf.,
We who took a test voted in the election.,Voted in what?,Election.,
We who put stickers on the wall drank three coffees.,Drank what?,Coffees.,
We who designed stickers bought new earrings.,Bought what?,Earrings.,
They who makes chicken nuggets make soup.,Who makes soup?,They.,
They who fixed the car make houses.,Who makes houses?,They.,
They who likes fruit snacks cook beans.,Who cooks beans?,They.,
They who left the mark went home early.,Went home when?,Early.,
They who took a test sing a song.,Who sings a song?,They.,
They who made a friend love dogs.,Who loves dogs?,They.,
They who loves dogs play piano.,Who plays piano?,They.,
They who plays piano go to concerts.,Who goes to concerts?,They.,
They who palys viola swim at the beach.,Who swims at the beach?,They.,
They who conducts an orchestra went to the mall.,Went where?,The mall.,
They who loves warm weather fixed the car.,Fixed what?,The car.,
They who drank water today ate fruit snacks.,Ate what?,Fruit snacks.,
They who took a test designed stickers.,Designed what?,Those stickers.,
They who put stickers on the wall wrote a story.,Wrote what?,A story.,
They who designed stickers made a program.,Made what?,That program.,
They who makes chicken nuggets cleaned the room.,Cleaned what?,The room.,
They who fixed the car watched the kids.,Watched who?,Kids.,
They who likes fruit snacks eat chicken nuggets.,Who eats chicken nuggets?,They.,
They who left the mark like fruit snacks.,Who likes fruit snacks?,They.,
They who took a test play viola.,Who plays viola?,They.,
They who made a friend conduct an orchestra.,Conducts what?,An orchestra.,
They who loves dogs love warm weather.,Who loves warm weather?,They.,
They who plays piano ate peppermint bites.,Ate what?,Peppermint bites.,
They who palys viola like vacations.,Who likes vacations?,They.,
They who conducts an orchestra drank water today.,Drank what?,Water today.,
They who loves warm weather like carpet flooring.,Who likes carpet flooring?,They.,
They who drank water today charged the computer.,Charged what?,The computer.,
They who took a test went to the dance.,Went where?,To the dance.,
They who put stickers on the wall put stickers on the wall.,Put stickers where?,On the wall.,
They who designed stickers paid the bills.,Paid what?,The bills.,
They who makes chicken nuggets took a test.,Took what?,A test.,
They who fixed the car took a train.,Took what?,A train.,
They who likes fruit snacks boarded the airplane.,Boarded what?,The airplane.,
They who left the mark left the park.,Left where?,The park.,
They who took a test made a friend.,Made what?,Friend.,
They who made a friend listened to music.,Listened to what?,Music.,
They who loves dogs painted a landscape.,Painted what?,A landscape.,
They who plays piano improvised a presentation.,Improvised what?,A presentation.,
They who palys viola performed a musical.,Performed what?,A musical.,
They who conducts an orchestra studied hard.,Who studied hard?,They.,
They who loves warm weather made a reservation at the restaurant.,Made what?,A reservation at the restaurant.,
They who drank water today calculated averages.,Calculated what?,Averages.,
They who took a test lost the keys.,Lost what?,Keys.,
They who put stickers on the wall sold the clothes.,Sold what?,Clothes.,
They who designed stickers danced all night.,Danced when?,All night.,
They who makes chicken nuggets knew her.,Knew who?,Her,
They who fixed the car recognized him.,Recognized who?,Him.,
They who likes fruit snacks saw a dog.,Saw what?,Dog.,
They who left the mark volunteered at the park.,Volunteered where?,At the park.,
They who took a test lost the game.,Lost what?,Game.,
They who made a friend won the match.,Won what?,Match.,
They who loves dogs picked up the phone.,Picked up what?,The phone.,
They who plays piano scrolled down the webpage.,Scrolled down what?,The webpage.,
They who palys viola did the homework.,Did what?,The homework.,
They who conducts an orchestra cleaned the window.,Cleaned what?,The window.,
They who loves warm weather opened the window.,Opened what?,The window.,
They who drank water today closed the door.,Closed what?,The door.,
They who took a test drew a picture.,Drew what?,Pictures.,
They who put stickers on the wall took a picture.,Took what?,Them.,
They who designed stickers bought colored pencils.,Bought what?,Colored pencils.,
They who makes chicken nuggets created an origami plane.,Created what?,An origami plane.,
They who fixed the car slept for 15 hours.,Slept how?,They.,
They who likes fruit snacks bought a leather jacket.,Bought what?,A leather jacket.,
They who left the mark saw a Broadway musical.,Saw what?,A Broadway musical.,
They who took a test wrote 20 pages.,Wrote what?,20 pages.,
They who made a friend need to write 20 pages.,Needs to what?,20 pages.,
They who loves dogs drew on the blackboard.,Drew where?,On the blackboard.,
They who plays piano found the iPad.,Found what?,iPad.,
They who palys viola bought a pen and pencil.,Bought what?,Pen and pencil.,
They who conducts an orchestra learned to code.,Learned what?,Code.,
They who loves warm weather found the treasure.,Found what?,The treasure.,
They who drank water today played soccer.,Played what?,Soccer.,
They who took a test were injured.,Who was injured?,They.,
They who put stickers on the wall woke up to cold weather.,Woke up to what?,Cold.,
They who designed stickers stepped outside.,Stepped where?,Outside.,
They who makes chicken nuggets went to bed.,Went where?,To bed.,
They who fixed the car fell asleep.,Who fell asleep?,They.,
They who likes fruit snacks took a nap. ,Took what?,A nap.,
They who left the mark got sick.,Got what?,Sickness.,
They who took a test put on a hat.,Put on what?,A hat.,
They who made a friend called the principal.,Called who?,The principal.,
They who loves dogs fell off a swing.,Fell off what?,Swing.,
They who plays piano found seashells.,Found what?,Seashells.,
They who palys viola visited a family member.,Visited who?,A family member.,
They who conducts an orchestra paused the song.,Paused what?,The song.,
They who loves warm weather invited a friend.,Invited who?,A friend.,
They who drank water today hung out with a friend.,Hung out with who?,Friends.,
They who took a test composed new music.,Composed what?,New music.,
They who put stickers on the wall wrote a novel.,Wrote what?,A novel.,
They who designed stickers exercised at the gym.,Exercised where?,At the gym.,
They who makes chicken nuggets stayed hydrated.,Stayed what?,Hydrated.,
They who fixed the car played with the dog.,Played with what?,The dog.,
They who likes fruit snacks practiced for 40 hours.,Practiced how?,For 40 hours.,
They who left the mark went on a rollercoaster.,Went where?,A rollercoaster.,
They who took a test rolled down the hill.,Rolled down what?,The hill.,
They who made a friend turned off the light.,Turned off what?,The light.,
They who loves dogs knitted a scarf.,Knitted what?,A scarf.,
They who plays piano voted in the election.,Voted in what?,Election.,
They who palys viola drank three coffees.,Drank what?,Coffees.,
They who conducts an orchestra bought new earrings.,Bought what?,Earrings.,
He who loves warm weather makes soup.,Who makes soup?,He.,
He who drank water today makes houses.,Who makes houses?,He.,
He who took a test cooks beans.,Who cooks beans?,He.,
He who put stickers on the wall went home early.,Went home when?,Early.,
He who designed stickers sings a song.,Who sings a song?,He.,
He who makes chicken nuggets loves dogs.,Who loves dogs?,He.,
He who fixed the car plays piano.,Who plays piano?,He.,
He who likes fruit snacks goes to concerts.,Who goes to concerts?,He.,
He who left the mark swims at the beach.,Who swims at the beach?,He.,
He who took a test went to the mall.,Went where?,The mall.,
He who made a friend fixed the car.,Fixed what?,The car.,
He who loves dogs ate fruit snacks.,Ate what?,Fruit snacks.,
He who plays piano designed stickers.,Designed what?,Those stickers.,
He who palys viola wrote a story.,Wrote what?,A story.,
He who conducts an orchestra made a program.,Made what?,That program.,
He who loves warm weather cleaned the room.,Cleaned what?,The room.,
He who drank water today watched the kids.,Watched who?,Kids.,
He who took a test eats chicken nuggets.,Who eats chicken nuggets?,He.,
He who put stickers on the wall likes fruit snacks.,Who likes fruit snacks?,He.,
He who designed stickers plays viola.,Who plays viola?,He.,
He who makes chicken nuggets conducts an orchestra.,Conducts what?,An orchestra.,
He who fixed the car loves warm weather.,Who loves warm weather?,He.,
He who likes fruit snacks ate peppermint bites.,Ate what?,Peppermint bites.,
He who left the mark likes vacations.,Who likes vacations?,He.,
He who took a test drank water today.,Drank what?,Water today.,
He who made a friend likes carpet flooring.,Who likes carpet flooring?,He.,
He who loves dogs charged the computer.,Charged what?,The computer.,
He who plays piano went to the dance.,Went where?,To the dance.,
He who palys viola put stickers on the wall.,Put stickers where?,On the wall.,
He who conducts an orchestra paid the bills.,Paid what?,The bills.,
He who loves warm weather took a test.,Took what?,A test.,
He who drank water today took a train.,Took what?,A train.,
He who took a test boarded the airplane.,Boarded what?,The airplane.,
He who put stickers on the wall left the park.,Left where?,The park.,
He who designed stickers made a friend.,Made what?,Friend.,
He who makes chicken nuggets listened to music.,Listened to what?,Music.,
He who fixed the car painted a landscape.,Painted what?,A landscape.,
He who likes fruit snacks improvised a presentation.,Improvised what?,A presentation.,
He who left the mark performed a musical.,Performed what?,A musical.,
He who took a test studied hard.,Who studied hard?,He.,
He who made a friend made a reservation at the restaurant.,Made what?,A reservation at the restaurant.,
He who loves dogs calculated averages.,Calculated what?,Averages.,
He who plays piano lost the keys.,Lost what?,Keys.,
He who palys viola sold the clothes.,Sold what?,Clothes.,
He who conducts an orchestra danced all night.,Danced when?,All night.,
He who loves warm weather knew her.,Knew who?,Her,
He who drank water today recognized him.,Recognized who?,Him.,
He who took a test saw a dog.,Saw what?,Dog.,
He who put stickers on the wall volunteered at the park.,Volunteered where?,At the park.,
He who designed stickers lost the game.,Lost what?,Game.,
He who makes chicken nuggets won the match.,Won what?,Match.,
He who fixed the car picked up the phone.,Picked up what?,The phone.,
He who likes fruit snacks scrolled down the webpage.,Scrolled down what?,The webpage.,
He who left the mark did the homework.,Did what?,The homework.,
He who took a test cleaned the window.,Cleaned what?,The window.,
He who made a friend opened the window.,Opened what?,The window.,
He who loves dogs closed the door.,Closed what?,The door.,
He who plays piano drew a picture.,Drew what?,Pictures.,
He who palys viola took a picture.,Took what?,Them.,
He who conducts an orchestra bought colored pencils.,Bought what?,Colored pencils.,
He who loves warm weather created an origami plane.,Created what?,An origami plane.,
He who drank water today slept for 15 hours.,Slept how?,He.,
He who took a test bought a leather jacket.,Bought what?,A leather jacket.,
He who put stickers on the wall saw a Broadway musical.,Saw what?,A Broadway musical.,
He who designed stickers wrote 20 pages.,Wrote what?,20 pages.,
He who makes chicken nuggets needs to write 20 pages.,Needs to what?,20 pages.,
He who fixed the car drew on the blackboard.,Drew where?,On the blackboard.,
He who likes fruit snacks found the iPad.,Found what?,iPad.,
He who left the mark bought a pen and pencil.,Bought what?,Pen and pencil.,
He who took a test learned to code.,Learned what?,Code.,
He who made a friend found the treasure.,Found what?,The treasure.,
He who loves dogs played soccer.,Played what?,Soccer.,
He who plays piano was injured.,Who was injured?,He.,
He who palys viola woke up to cold weather.,Woke up to what?,Cold.,
He who conducts an orchestra stepped outside.,Stepped where?,Outside.,
He who loves warm weather went to bed.,Went where?,To bed.,
He who drank water today fell asleep.,Who fell asleep?,He.,
He who took a test took a nap. ,Took what?,A nap.,
He who put stickers on the wall got sick.,Got what?,Sickness.,
He who designed stickers put on a hat.,Put on what?,A hat.,
He who makes chicken nuggets called the principal.,Called who?,The principal.,
He who fixed the car fell off a swing.,Fell off what?,Swing.,
He who likes fruit snacks found seashells.,Found what?,Seashells.,
He who left the mark visited a family member.,Visited who?,A family member.,
He who took a test paused the song.,Paused what?,The song.,
He who made a friend invited a friend.,Invited who?,A friend.,
He who loves dogs hung out with a friend.,Hung out with who?,Friends.,
He who plays piano composed new music.,Composed what?,New music.,
He who palys viola wrote a novel.,Wrote what?,A novel.,
He who conducts an orchestra exercised at the gym.,Exercised where?,At the gym.,
He who loves warm weather stayed hydrated.,Stayed what?,Hydrated.,
He who drank water today played with the dog.,Played with what?,The dog.,
He who took a test practiced for 40 hours.,Practiced how?,For 40 hours.,
He who put stickers on the wall went on a rollercoaster.,Went where?,A rollercoaster.,
He who designed stickers rolled down the hill.,Rolled down what?,The hill.,
He who makes chicken nuggets turned off the light.,Turned off what?,The light.,
He who fixed the car knitted a scarf.,Knitted what?,A scarf.,
He who likes fruit snacks voted in the election.,Voted in what?,Election.,
He who left the mark drank three coffees.,Drank what?,Coffees.,
He who took a test bought new earrings.,Bought what?,Earrings.,
She who made a friend makes soup.,Who makes soup?,She.,
She who loves dogs makes houses.,Who makes houses?,She.,
She who plays piano cooks beans.,Who cooks beans?,She.,
She who palys viola went home early.,Went home when?,Early.,
She who conducts an orchestra sings a song.,Who sings a song?,She.,
She who loves warm weather loves dogs.,Who loves dogs?,She.,
She who drank water today plays piano.,Who plays piano?,She.,
She who took a test goes to concerts.,Who goes to concerts?,She.,
